iter	Logloss
0	0.692517831
1	0.6917655291
2	0.6910116141
3	0.6904776873
4	0.6896060617
5	0.6894045585
6	0.6885754395
7	0.6879474313
8	0.6874022566
9	0.6866905866
10	0.6863821847
11	0.6858524867
12	0.6853342111
13	0.6845810808
14	0.683911656
15	0.6835741316
16	0.6830237688
17	0.6822708566
18	0.6815678188
19	0.6809818377
20	0.6806226894
21	0.680065918
22	0.6797276524
23	0.6791067069
24	0.6786467634
25	0.6783999198
26	0.6776249913
27	0.6768661063
28	0.6765798078
29	0.6760476249
30	0.6756266131
31	0.6749685233
32	0.6742841884
33	0.6737643869
34	0.6732007708
35	0.6727197702
36	0.6720963396
37	0.671786281
38	0.671272147
39	0.6709168352
40	0.6703308977
41	0.6698538208
42	0.6692694964
43	0.6686427525
44	0.6681987653
45	0.6674982997
46	0.6668088205
47	0.6662230137
48	0.6658680071
49	0.6655575997
50	0.6648995536
51	0.6642708043
52	0.664123012
53	0.6637169538
54	0.6631576538
55	0.6624228777
56	0.6618180629
57	0.6609588623
58	0.6605674526
59	0.6599336461
60	0.6596930368
61	0.6592132568
62	0.6587433733
63	0.6586109706
64	0.6580573382
65	0.657469526
66	0.6568659755
67	0.6564564732
68	0.6558629499
69	0.655511213
70	0.6550709316
71	0.6547089059
72	0.6544456264
73	0.6540710449
74	0.6535169329
75	0.6531161063
76	0.6524408395
77	0.6518083845
78	0.6509056745
79	0.6504149519
80	0.6501453509
81	0.6496316092
82	0.6493763515
83	0.6491705322
84	0.6486047799
85	0.6482256644
86	0.6477081299
87	0.6470119803
88	0.6466250174
89	0.6460831996
90	0.645753697
91	0.6453173828
92	0.6448221261
93	0.6442772566
94	0.6439423915
95	0.6436394392
96	0.6435905675
97	0.6430860247
98	0.642408796
99	0.6419539533
100	0.6415746634
101	0.6414520264
102	0.6410099139
103	0.6404679653
104	0.6401206316
105	0.6400020926
106	0.639558367
107	0.6388694981
108	0.6385559954
109	0.6381357247
110	0.6374630737
111	0.6368383353
112	0.6364786203
113	0.6362299892
114	0.63562003
115	0.6350782122
116	0.6347525896
117	0.634326695
118	0.6338686698
119	0.6335817174
120	0.6331557356
121	0.6326454817
122	0.6320794678
123	0.6317486136
124	0.6313323103
125	0.6308168684
126	0.6304074533
127	0.6301977103
128	0.6298236956
129	0.6293706403
130	0.6291687012
131	0.628588562
132	0.6283350481
133	0.6282828631
134	0.6278609794
135	0.6275115531
136	0.627142552
137	0.6267749895
138	0.6264262172
139	0.6259813581
140	0.6253972953
141	0.6247537231
142	0.624100429
143	0.6237190465
144	0.6234589495
145	0.6230131313
146	0.6227028111
147	0.6222415161
148	0.6219240025
149	0.6215951974
150	0.6213875907
151	0.6210797555
152	0.6208983067
153	0.6205899484
154	0.6203726196
155	0.6199802944
156	0.619850987
157	0.6193797956
158	0.6189365932
159	0.618613412
160	0.6182717896
161	0.6179411534
162	0.6176219395
163	0.6174008179
164	0.6170144217
165	0.6166563198
166	0.6162399728
167	0.6157218279
168	0.6153403582
169	0.6151422991
170	0.6147643171
